Sequence Folder,Mean Difference,Variance Difference
sequence_001,0.025678645161290307,0.0005504400562773157
sequence_002,0.031499000000000006,0.0013594909976935487
sequence_003,0.03116292741935485,0.0009813468667931183
sequence_004,0.32332782258064513,0.09849338389129113
sequence_005,0.05968779032258063,0.0026799625590205513
sequence_006,0.03527937096774193,0.0023088656975236723
sequence_007,0.028073387096774198,0.0009748055959630595
sequence_008,0.025501588709677413,0.0006248439436937436
sequence_009,0.04862379838709676,0.0024634376697416113
sequence_010,0.06346466129032259,0.003404043668498179
sequence_011,0.02872343548387096,0.000621329995778096
sequence_012,0.0427123870967742,0.0021794750999469302
sequence_013,0.02800188709677419,0.000961163878003382
sequence_014,0.03386383064516128,0.0013568840599632542
sequence_015,0.019694524193548394,0.0005118223483945761
sequence_016,0.02813508870967741,0.0005585853265969695
sequence_017,0.02853620161290323,0.0007431527837577394
sequence_018,0.07799730645161292,0.00491952100572867
sequence_019,0.03687704032258065,0.0014594483209257937
sequence_020,0.029994249999999997,0.0004525457833326615
sequence_021,0.037694749999999985,0.0014091064089939516
sequence_022,0.019782983870967743,0.00031549612296748165
sequence_023,0.03665962096774193,0.0014728333350095607
sequence_024,0.04027062096774194,0.0014651079182676245
sequence_025,0.03564296774193549,0.0016192503515473466
sequence_026,0.03791118548387097,0.001753453897844628
sequence_027,0.033861846774193544,0.0014198783164200703
sequence_028,0.03312464516129033,0.0009107825661321536
sequence_029,0.02361838709677421,0.00045413996891467196
sequence_030,0.02107961290322581,0.0004419530864630592
sequence_031,0.03596869354838711,0.002099023990277055
sequence_032,0.04216070967741935,0.0017020338020770033
sequence_033,0.042943895161290324,0.0019926817114648164
sequence_034,0.06422839516129032,0.004917014527335784
sequence_035,0.02527087096774194,0.0007478853535639951
sequence_036,0.021619435483870967,0.00025410117695551536
sequence_037,0.023162879032258072,0.0009415907041063341
sequence_038,0.04535579032258066,0.003048842763085068
sequence_039,0.022341500000000007,0.0006357302136048392
sequence_040,0.03223067741935484,0.0010053976579443287
sequence_041,0.018258717741935476,0.00048520140729936263
sequence_042,0.020377766129032256,0.0006925102855824012
sequence_043,0.030300282258064522,0.0005103941270090398
sequence_044,0.027053951612903224,0.0006957500214008842
sequence_045,0.04490793548387099,0.0033231238128345456
sequence_046,0.057378298387096766,0.0038448374092738677
sequence_047,0.025367008064516142,0.0008577520055402571
sequence_048,0.02202387903225807,0.0005380842803643989
sequence_049,0.036190588709677424,0.002201373510548582
sequence_050,0.05578997580645161,0.00333254206984619
sequence_051,0.02354687903225806,0.0006504982116385921
sequence_052,0.02945052419354838,0.0009077203229590928
sequence_053,0.024483161290322585,0.00040901298300624324
sequence_054,0.01970681451612903,0.00034587079340914374
sequence_055,0.0304579193548387,0.0010192243780257544
sequence_056,0.08277751612903225,0.00440665474324974
sequence_057,0.02985548387096773,0.0008672906692658688
sequence_058,0.03166421774193549,0.0009804382979122662
sequence_059,0.03594171774193548,0.001481266490057427
sequence_060,0.028465919354838706,0.0006501778428644646
sequence_061,0.024179314516129032,0.0007890438446188214
sequence_062,0.03997238709677419,0.001984977093221123
sequence_063,0.03259377419354839,0.0013392905455135277
sequence_064,0.04087696774193547,0.0022915166730473457

diffusion 64 results Average,0.03927164705141127,0.0029814907068810635
uni_traj,0.07753033064516131,0.004225511363624549
VAE result,0.08272175806451612,0.010265840588893078
GAN result,1.8049611370967744,2.0020739659849247
Normalizing Flow result,1.6745707661290323,1.7123766040506627

bene diffusion,0.08204446774193548,0.002334392628619927
bene uni,0.03074035483870968,0.0005606813070676374

3BPA diffusion,0.0747659105342742,0.0036407732835982165
3BPA uni,0.027804491935483875,0.0004771987530241295

ethanol diffusion,0.07279192464717743,0.0033646870154509364
ethanol uni,0.05904993548387097,0.0021921451108022905

malonaldehyde diffusion,0.07845778389616935,0.003381150881468558
malonaldehyde uni,0.06085027419354839,0.002413749011344173

nap diffusion new,0.07719635572076611,0.0038336265758269943
nap uni new,0.038437104838709685,0.0008379250878196538
