Sequence Folder,Mean Difference,Variance Difference
sequence_001,0.07889076612903226,0.0036981373842275627
sequence_002,0.06665774999999999,0.0028371202298971775
sequence_003,0.0852155322580645,0.004080688090329604
sequence_004,0.06803857258064516,0.002366008084647958
sequence_005,0.08856433870967743,0.0044248344138691454
sequence_006,0.09277230645161293,0.005497682131309312
sequence_007,0.06779312903225806,0.0018034973514672217
sequence_008,0.08551324193548386,0.0044035003251672745
sequence_009,0.07238795967741934,0.004804777093135471
sequence_010,0.06651492741935483,0.0026171301133253765
sequence_011,0.0893081693548387,0.0037955263320116404
sequence_012,0.08580333870967743,0.003799590474546565
sequence_013,0.08758054838709678,0.0061053736787799184
sequence_014,0.10536733064516128,0.005539006417092287
sequence_015,0.08066265322580646,0.0040109338453071675
sequence_016,0.07649291129032258,0.0031786396793227756
sequence_017,0.08273999193548388,0.004632263365717676
sequence_018,0.06221904838709677,0.0030960051717879816
sequence_019,0.09912408870967744,0.008384386387435678
sequence_020,0.06573799193548387,0.0028748846755079992
sequence_021,0.0725623306451613,0.003565594111334222
sequence_022,0.0660940322580645,0.002862628984095734
sequence_023,0.060460999999999994,0.002014635359903226
sequence_024,0.05321583870967741,0.0015564924750223735
sequence_025,0.044305096774193545,0.0014181848335712802
sequence_026,0.08004955645161292,0.003584346379537135
sequence_027,0.0683121370967742,0.0032684032338924944
sequence_028,0.08911579838709677,0.00421504141959645
sequence_029,0.09149116129032257,0.004855331502635276
sequence_030,0.07674873387096773,0.0027059770297114343
sequence_031,0.08849798387096773,0.007224111325209416
sequence_032,0.07908791935483872,0.0028709886844934976
sequence_033,0.08328391935483871,0.004778149218541884
sequence_034,0.06656695967741935,0.002481702577280632
sequence_035,0.0988921612903226,0.005734429071232051
sequence_036,0.06977934677419355,0.002452166461226521
sequence_037,0.08327923387096774,0.003845865374630788
sequence_038,0.06359362903225806,0.0035803650954591565
sequence_039,0.0828250564516129,0.0035306494168597167
sequence_040,0.08396341129032259,0.003228747953435679
sequence_041,0.07548885483870967,0.002726050846140218
sequence_042,0.07701375806451613,0.0031613172100382414
sequence_043,0.0995871129032258,0.006979361807148542
sequence_044,0.08265383064516131,0.0062248098240761576
sequence_045,0.05941470967741935,0.0027910868226415195
sequence_046,0.07172220161290323,0.003312816064822255
sequence_047,0.08484989516129034,0.00399769318523901
sequence_048,0.05150837903225806,0.0014241077202353665
sequence_049,0.06870227419354838,0.0031295301741667537
sequence_050,0.08912165322580645,0.006199966374291037
sequence_051,0.08749683870967742,0.0053999008918288235
sequence_052,0.058971967741935485,0.0023345756287570245
sequence_053,0.06618695161290322,0.002778205472900885
sequence_054,0.07525900806451612,0.003346818368685419
sequence_055,0.0995239193548387,0.0057354244116709155
sequence_056,0.08729376612903225,0.006085998590679174
sequence_057,0.055382193548387096,0.0025297907538818936
sequence_058,0.05755979032258064,0.001646909423068939
sequence_059,0.07314774999999998,0.0023764974938004038
sequence_060,0.10763391129032258,0.006730452097161486
sequence_061,0.09381445161290321,0.005186871378118627
sequence_062,0.07359316129032259,0.004915583243844952
sequence_063,0.0670780241935484,0.0024331102150719954
sequence_064,0.06805245967741937,0.0021814271021032127
Average,0.07719635572076611,0.0038336265758269943
